Gear_ID,Name,Sport,Type,Material,Price,Ratings
1,Adidas X Pro Gloves,Squash,Gloves,Cotton,169,4.0
2,Puma Goalkeeper Gloves,Baseball,Gloves,Polyester,43,4.1
3,Nike Air Zoom,Hockey,Ball,Synthetic,187,3.6
4,Reebok Running Shorts,Volleyball,Ball,Mesh,195,4.1
5,Reebok Running Shorts,Golf,Clothing,Cotton,140,4.2
6,Puma Goalkeeper Gloves,Football,Gloves,Synthetic,90,4.0
7,Wilson Basketball,Squash,Clothing,Mesh,186,3.5
8,Asics Gel Nimbus,Volleyball,Shoes,Leather,82,4.3
9,Adidas Predator,Long Tennis,Clothing,Synthetic,113,4.2
10,Under Armour T-Shirt,Hockey,Clothing,Mesh,132,4.8
11,Wilson Basketball,Volleyball,Gloves,Polyester,92,3.9
12,Asics Gel Nimbus,Table Tennis,Gloves,Cotton,60,4.9
13,Wilson Basketball,Baseball,Ball,Cotton,200,4.9
14,Reebok Running Shorts,Golf,Shoes,Synthetic,95,4.7
15,Puma Goalkeeper Gloves,Cricket,Ball,Leather,152,3.7
16,Reebok Running Shorts,Cricket,Shoes,Polyester,113,4.8
17,Wilson Basketball,Football,Shoes,Mesh,82,4.1
18,Adidas X Pro Gloves,Long Tennis,Clothing,Synthetic,132,4.8
19,Adidas X Pro Gloves,Skating,Ball,Mesh,121,4.4
20,Nike Air Zoom,Baseball,Shoes,Leather,107,4.7
21,Adidas X Pro Gloves,Rugby,Gloves,Mesh,134,4.6
22,Nike Air Zoom,Table Tennis,Clothing,Synthetic,183,3.9
23,Adidas X Pro Gloves,Skating,Shoes,Leather,175,5.0
24,Adidas Predator,Cricket,Ball,Synthetic,185,4.1
25,Nike Air Zoom,Skating,Gloves,Synthetic,184,4.9
26,Adidas Predator,Long Tennis,Gloves,Leather,106,4.4
27,Nike Air Zoom,Table Tennis,Clothing,Synthetic,119,4.1
28,Adidas X Pro Gloves,Rugby,Shoes,Synthetic,114,4.5
29,Under Armour T-Shirt,Cricket,Ball,Cotton,190,4.5
30,Reebok Running Shorts,Squash,Clothing,Leather,94,4.7
31,Under Armour T-Shirt,Baseball,Shoes,Mesh,64,3.8
32,Puma Goalkeeper Gloves,Rugby,Gloves,Cotton,165,3.6
33,Nike Air Zoom,Squash,Gloves,Polyester,95,4.4
34,Asics Gel Nimbus,Cricket,Clothing,Polyester,46,4.6
35,Under Armour T-Shirt,Badminton,Gloves,Mesh,159,4.2
36,Under Armour T-Shirt,Table Tennis,Ball,Cotton,162,3.8
37,Asics Gel Nimbus,Football,Ball,Leather,129,3.9
38,Puma Goalkeeper Gloves,Cricket,Clothing,Polyester,197,4.5
39,Reebok Running Shorts,Football,Gloves,Leather,104,3.7
40,Reebok Running Shorts,Baseball,Clothing,Synthetic,159,4.3
41,Under Armour T-Shirt,Golf,Shoes,Leather,55,3.9
42,Adidas Predator,Volleyball,Shoes,Polyester,103,3.5
43,Wilson Basketball,Cricket,Gloves,Cotton,51,4.4
44,Puma Goalkeeper Gloves,Long Tennis,Clothing,Synthetic,123,4.8
45,Adidas X Pro Gloves,Long Tennis,Clothing,Leather,62,4.8
46,Reebok Running Shorts,Rugby,Gloves,Mesh,22,4.9
47,Adidas X Pro Gloves,Skating,Clothing,Synthetic,177,4.0
48,Under Armour T-Shirt,Cricket,Gloves,Mesh,189,3.7
49,Under Armour T-Shirt,Squash,Shoes,Cotton,139,4.4
50,Wilson Basketball,Table Tennis,Clothing,Polyester,74,4.3
51,Adidas X Pro Gloves,Squash,Shoes,Polyester,181,3.7
52,Adidas Predator,Football,Shoes,Mesh,26,3.9
53,Nike Air Zoom,Golf,Clothing,Polyester,27,5.0
54,Adidas X Pro Gloves,Cricket,Clothing,Mesh,93,3.9
55,Adidas Predator,Rugby,Gloves,Synthetic,96,3.8
56,Asics Gel Nimbus,Hockey,Shoes,Polyester,114,3.9
57,Nike Air Zoom,Volleyball,Gloves,Mesh,31,4.2
58,Wilson Basketball,Table Tennis,Ball,Polyester,105,4.2
59,Adidas Predator,Volleyball,Ball,Leather,119,3.6
60,Puma Goalkeeper Gloves,Long Tennis,Gloves,Mesh,51,3.7
61,Wilson Basketball,Football,Shoes,Cotton,124,3.9
62,Adidas X Pro Gloves,Table Tennis,Shoes,Polyester,35,4.7
63,Nike Air Zoom,Squash,Clothing,Synthetic,175,4.7
64,Under Armour T-Shirt,Golf,Gloves,Mesh,55,3.6
65,Nike Air Zoom,Hockey,Shoes,Mesh,24,4.4
66,Adidas Predator,Skating,Gloves,Leather,116,4.0
67,Under Armour T-Shirt,Table Tennis,Ball,Synthetic,170,3.6
68,Under Armour T-Shirt,Table Tennis,Ball,Cotton,158,4.0
69,Adidas X Pro Gloves,Volleyball,Gloves,Cotton,87,4.4
70,Reebok Running Shorts,Table Tennis,Shoes,Polyester,174,4.7
71,Wilson Basketball,Volleyball,Gloves,Polyester,122,3.8
72,Reebok Running Shorts,Volleyball,Clothing,Mesh,195,4.2
73,Wilson Basketball,Squash,Ball,Polyester,30,4.7
74,Nike Air Zoom,Golf,Gloves,Mesh,144,4.2
75,Adidas Predator,Long Tennis,Clothing,Leather,158,4.3
76,Nike Air Zoom,Golf,Gloves,Synthetic,174,3.7
77,Puma Goalkeeper Gloves,Football,Ball,Mesh,94,4.3
78,Under Armour T-Shirt,Long Tennis,Gloves,Leather,99,4.5
79,Puma Goalkeeper Gloves,Badminton,Shoes,Synthetic,36,4.2
80,Reebok Running Shorts,Football,Clothing,Mesh,139,4.8
81,Puma Goalkeeper Gloves,Volleyball,Ball,Synthetic,195,4.4
82,Asics Gel Nimbus,Rugby,Shoes,Polyester,25,4.3
83,Asics Gel Nimbus,Cricket,Clothing,Cotton,175,4.4
